jurisdiction,Year,data_start_date,data_end_date,first_published_date,last_updated_date,sub_threshold,jurisdiction_facility_id,registered_business_name,facility_name,site_address_street,site_address_suburb,site_address_state,site_address_postcode,site_latitude,site_longitude,ANZSIC code,ANZSIC name,main_activities,substance,destination,quantity_in_kg,mass_balance_estimation,engineering_calculations_estimation,direct_measurement_estimation,emission_factors_estimation,approved_alternative_estimation
QLD,2015,1/07/2014,30/06/2015,15/04/2016,15/04/2016,N,Q058TWM001,TRANSPACIFIC WASTE MANAGEMENT PTY LTD,TRANSPACIFIC WASTE MANAGEMENT PTY LTD,100 Chum,New Chum,QLD,4303,-27.607495,152.834115,2921,Waste Treatment and Disposal Services,,"Chlorophenols (di, tri, tetra)",Land,5.69626E-06,N,N,N,Y,N
QLD,2015,1/07/2014,30/06/2015,15/04/2016,15/04/2016,N,Q058TWM001,TRANSPACIFIC WASTE MANAGEMENT PTY LTD,TRANSPACIFIC WASTE MANAGEMENT PTY LTD,100 Chum,New Chum,QLD,4303,-27.607495,152.834115,2921,Waste Treatment and Disposal Services,,Chloroform (trichloromethane),Land,0.000323905,N,N,N,Y,N
QLD,2015,1/07/2014,30/06/2015,15/04/2016,15/04/2016,N,Q058TWM001,TRANSPACIFIC WASTE MANAGEMENT PTY LTD,TRANSPACIFIC WASTE MANAGEMENT PTY LTD,100 Chum,New Chum,QLD,4303,-27.607495,152.834115,2921,Waste Treatment and Disposal Services,,Chlorine & compounds,Land,6.589791105,N,N,N,Y,N
QLD,2015,1/07/2014,30/06/2015,15/04/2016,15/04/2016,N,Q058TWM001,TRANSPACIFIC WASTE MANAGEMENT PTY LTD,TRANSPACIFIC WASTE MANAGEMENT PTY LTD,100 Chum,New Chum,QLD,4303,-27.607495,152.834115,2921,Waste Treatment and Disposal Services,,Cadmium & compounds,Land,0.000156368,N,N,N,Y,N
QLD,2015,1/07/2014,30/06/2015,15/04/2016,15/04/2016,N,Q058TWM001,TRANSPACIFIC WASTE MANAGEMENT PTY LTD,TRANSPACIFIC WASTE MANAGEMENT PTY LTD,100 Chum,New Chum,QLD,4303,-27.607495,152.834115,2921,Waste Treatment and Disposal Services,,Beryllium & compounds,Land,5.36119E-05,N,N,N,Y,N
QLD,2015,1/07/2014,30/06/2015,15/04/2016,15/04/2016,N,Q058TWM001,TRANSPACIFIC WASTE MANAGEMENT PTY LTD,TRANSPACIFIC WASTE MANAGEMENT PTY LTD,100 Chum,New Chum,QLD,4303,-27.607495,152.834115,2921,Waste Treatment and Disposal Services,,Benzene,Land,0.000413258,N,N,N,Y,N
QLD,2015,1/07/2014,30/06/2015,15/04/2016,15/04/2016,N,Q058TWM001,TRANSPACIFIC WASTE MANAGEMENT PTY LTD,TRANSPACIFIC WASTE MANAGEMENT PTY LTD,100 Chum,New Chum,QLD,4303,-27.607495,152.834115,2921,Waste Treatment and Disposal Services,,Ethylbenzene,Land,0.00064781,N,N,N,Y,N
QLD,2015,1/07/2014,30/06/2015,15/04/2016,15/04/2016,N,Q058TWM001,TRANSPACIFIC WASTE MANAGEMENT PTY LTD,TRANSPACIFIC WASTE MANAGEMENT PTY LTD,100 Chum,New Chum,QLD,4303,-27.607495,152.834115,2921,Waste Treatment and Disposal Services,,Antimony & compounds,Land,0.000737163,N,N,N,Y,N
QLD,2015,1/07/2014,30/06/2015,15/04/2016,15/04/2016,N,Q058TWM001,TRANSPACIFIC WASTE MANAGEMENT PTY LTD,TRANSPACIFIC WASTE MANAGEMENT PTY LTD,100 Chum,New Chum,QLD,4303,-27.607495,152.834115,2921,Waste Treatment and Disposal Services,,Arsenic & compounds,Land,0.000156368,N,N,N,Y,N
QLD,2015,1/07/2014,30/06/2015,15/04/2016,15/04/2016,N,Q023QUU002,CENTRAL SEQ DISTRIBUTOR-RETAILER AUTHORITY TRADING AS QUEENSLAND URBAN UTILITIES,Gatton Wastewater Treatment Plant,Railway Street,Gatton,QLD,4343,-27.542609,152.281775,2812,Sewerage and Drainage Services,Wastewater services,Chlorine & compounds,Land,4400,N,N,Y,N,N
QLD,2015,1/07/2014,30/06/2015,15/04/2016,15/04/2016,N,Q020RIO001,CLERMONT COAL OPERATIONS PTY LTD,Clermont Mine,Gregory Developmental Road,Clermont,QLD,4721,-22.7128,147.6064,0600,Coal Mining,Black Coal Mining Handling and Preparation,Lead & compounds,Land,0.000002,N,N,Y,N,N
QLD,2015,1/07/2014,30/06/2015,15/04/2016,15/04/2016,N,Q020RIO001,CLERMONT COAL OPERATIONS PTY LTD,Clermont Mine,Gregory Developmental Road,Clermont,QLD,4721,-22.7128,147.6064,0600,Coal Mining,Black Coal Mining Handling and Preparation,Nickel & compounds,Land,0.000026,N,N,Y,N,N
QLD,2015,1/07/2014,30/06/2015,15/04/2016,15/04/2016,N,Q020RIO001,CLERMONT COAL OPERATIONS PTY LTD,Clermont Mine,Gregory Developmental Road,Clermont,QLD,4721,-22.7128,147.6064,0600,Coal Mining,Black Coal Mining Handling and Preparation,Fluoride compounds,Land,0.000784,N,N,Y,N,N
QLD,2015,1/07/2014,30/06/2015,15/04/2016,15/04/2016,N,Q020RIO001,CLERMONT COAL OPERATIONS PTY LTD,Clermont Mine,Gregory Developmental Road,Clermont,QLD,4721,-22.7128,147.6064,0600,Coal Mining,Black Coal Mining Handling and Preparation,Copper & compounds,Land,0.000002,N,N,Y,N,N
QLD,2015,1/07/2014,30/06/2015,15/04/2016,15/04/2016,N,Q020RIO001,CLERMONT COAL OPERATIONS PTY LTD,Clermont Mine,Gregory Developmental Road,Clermont,QLD,4721,-22.7128,147.6064,0600,Coal Mining,Black Coal Mining Handling and Preparation,Cobalt & compounds,Land,0.000002,N,N,Y,N,N
QLD,2015,1/07/2014,30/06/2015,15/04/2016,15/04/2016,N,Q020RIO001,CLERMONT COAL OPERATIONS PTY LTD,Clermont Mine,Gregory Developmental Road,Clermont,QLD,4721,-22.7128,147.6064,0600,Coal Mining,Black Coal Mining Handling and Preparation,Cadmium & compounds,Land,0.0000002,N,N,Y,N,N
QLD,2015,1/07/2014,30/06/2015,15/04/2016,15/04/2016,N,Q020RIO001,CLERMONT COAL OPERATIONS PTY LTD,Clermont Mine,Gregory Developmental Road,Clermont,QLD,4721,-22.7128,147.6064,0600,Coal Mining,Black Coal Mining Handling and Preparation,Arsenic & compounds,Land,0.000036,N,N,Y,N,N
QLD,2015,1/07/2014,30/06/2015,15/04/2016,15/04/2016,N,Q020RIO001,CLERMONT COAL OPERATIONS PTY LTD,Clermont Mine,Gregory Developmental Road,Clermont,QLD,4721,-22.7128,147.6064,0600,Coal Mining,Black Coal Mining Handling and Preparation,Zinc and compounds,Land,0.0000232,N,N,Y,N,N
QLD,2015,1/07/2014,30/06/2015,15/04/2016,15/04/2016,N,Q058MAC002,MACKAY REGIONAL COUNCIL,Eungella Landfill,59 Bee Creek Road,Eungella,QLD,4757,-21.13,148.485,2921,Waste Treatment and Disposal Services,"Former waste disposal facility, now closed",Ammonia (total),Land,335.244,N,N,N,Y,N
QLD,2015,1/07/2014,30/06/2015,15/04/2016,15/04/2016,N,Q058MAC002,MACKAY REGIONAL COUNCIL,Eungella Landfill,59 Bee Creek Road,Eungella,QLD,4757,-21.13,148.485,2921,Waste Treatment and Disposal Services,"Former waste disposal facility, now closed",Ethylbenzene,Land,0.0925912,N,N,N,Y,N
QLD,2015,1/07/2014,30/06/2015,15/04/2016,15/04/2016,N,Q058MAC002,MACKAY REGIONAL COUNCIL,Eungella Landfill,59 Bee Creek Road,Eungella,QLD,4757,-21.13,148.485,2921,Waste Treatment and Disposal Services,"Former waste disposal facility, now closed",Beryllium & compounds,Land,0.00766272,N,N,N,Y,N
QLD,2015,1/07/2014,30/06/2015,15/04/2016,15/04/2016,N,Q058MAC002,MACKAY REGIONAL COUNCIL,Eungella Landfill,59 Bee Creek Road,Eungella,QLD,4757,-21.13,148.485,2921,Waste Treatment and Disposal Services,"Former waste disposal facility, now closed",Antimony & compounds,Land,0.1053624,N,N,N,Y,N
QLD,2015,1/07/2014,30/06/2015,15/04/2016,15/04/2016,N,Q058MAC002,MACKAY REGIONAL COUNCIL,Eungella Landfill,59 Bee Creek Road,Eungella,QLD,4757,-21.13,148.485,2921,Waste Treatment and Disposal Services,"Former waste disposal facility, now closed",Arsenic & compounds,Land,0.0223496,N,N,N,Y,N
QLD,2015,1/07/2014,30/06/2015,15/04/2016,15/04/2016,N,Q058MAC002,MACKAY REGIONAL COUNCIL,Eungella Landfill,59 Bee Creek Road,Eungella,QLD,4757,-21.13,148.485,2921,Waste Treatment and Disposal Services,"Former waste disposal facility, now closed",Benzene,Land,0.0590668,N,N,N,Y,N
QLD,2015,1/07/2014,30/06/2015,15/04/2016,15/04/2016,N,Q058MAC002,MACKAY REGIONAL COUNCIL,Eungella Landfill,59 Bee Creek Road,Eungella,QLD,4757,-21.13,148.485,2921,Waste Treatment and Disposal Services,"Former waste disposal facility, now closed",Zinc and compounds,Land,1.085552,N,N,N,Y,N
QLD,2015,1/07/2014,30/06/2015,15/04/2016,15/04/2016,N,Q058MAC002,MACKAY REGIONAL COUNCIL,Eungella Landfill,59 Bee Creek Road,Eungella,QLD,4757,-21.13,148.485,2921,Waste Treatment and Disposal Services,"Former waste disposal facility, now closed",Vinyl Chloride Monomer,Land,0.063856,N,N,N,Y,N
QLD,2015,1/07/2014,30/06/2015,15/04/2016,15/04/2016,N,Q058MAC002,MACKAY REGIONAL COUNCIL,Eungella Landfill,59 Bee Creek Road,Eungella,QLD,4757,-21.13,148.485,2921,Waste Treatment and Disposal Services,"Former waste disposal facility, now closed",Toluene (methylbenzene),Land,0.654524,N,N,N,Y,N
QLD,2015,1/07/2014,30/06/2015,15/04/2016,15/04/2016,N,Q058MAC002,MACKAY REGIONAL COUNCIL,Eungella Landfill,59 Bee Creek Road,Eungella,QLD,4757,-21.13,148.485,2921,Waste Treatment and Disposal Services,"Former waste disposal facility, now closed",Polycyclic aromatic hydrocarbons (B[a]Peq),Land,0.0003991,N,N,N,Y,N
QLD,2015,1/07/2014,30/06/2015,15/04/2016,15/04/2016,N,Q058MAC002,MACKAY REGIONAL COUNCIL,Eungella Landfill,59 Bee Creek Road,Eungella,QLD,4757,-21.13,148.485,2921,Waste Treatment and Disposal Services,"Former waste disposal facility, now closed",Phenol,Land,0.606632,N,N,N,Y,N
QLD,2015,1/07/2014,30/06/2015,15/04/2016,15/04/2016,N,Q058MAC002,MACKAY REGIONAL COUNCIL,Eungella Landfill,59 Bee Creek Road,Eungella,QLD,4757,-21.13,148.485,2921,Waste Treatment and Disposal Services,"Former waste disposal facility, now closed",Nickel & compounds,Land,0.271388,N,N,N,Y,N
QLD,2015,1/07/2014,30/06/2015,15/04/2016,15/04/2016,N,Q058MAC002,MACKAY REGIONAL COUNCIL,Eungella Landfill,59 Bee Creek Road,Eungella,QLD,4757,-21.13,148.485,2921,Waste Treatment and Disposal Services,"Former waste disposal facility, now closed",Lead & compounds,Land,0.1005732,N,N,N,Y,N
QLD,2015,1/07/2014,30/06/2015,15/04/2016,15/04/2016,N,Q058MAC002,MACKAY REGIONAL COUNCIL,Eungella Landfill,59 Bee Creek Road,Eungella,QLD,4757,-21.13,148.485,2921,Waste Treatment and Disposal Services,"Former waste disposal facility, now closed",Polychlorinated dioxins and furans (TEQ),Land,5.10848E-07,N,N,N,Y,N
QLD,2015,1/07/2014,30/06/2015,15/04/2016,15/04/2016,N,Q058MAC002,MACKAY REGIONAL COUNCIL,Eungella Landfill,59 Bee Creek Road,Eungella,QLD,4757,-21.13,148.485,2921,Waste Treatment and Disposal Services,"Former waste disposal facility, now closed",Dichloromethane,Land,0.702416,N,N,N,Y,N
QLD,2015,1/07/2014,30/06/2015,15/04/2016,15/04/2016,N,Q058MAC002,MACKAY REGIONAL COUNCIL,Eungella Landfill,59 Bee Creek Road,Eungella,QLD,4757,-21.13,148.485,2921,Waste Treatment and Disposal Services,"Former waste disposal facility, now closed","1,2-Dichloroethane",Land,0.015964,N,N,N,Y,N
QLD,2015,1/07/2014,30/06/2015,15/04/2016,15/04/2016,N,Q058MAC002,MACKAY REGIONAL COUNCIL,Eungella Landfill,59 Bee Creek Road,Eungella,QLD,4757,-21.13,148.485,2921,Waste Treatment and Disposal Services,"Former waste disposal facility, now closed",Copper & compounds,Land,0.0862056,N,N,N,Y,N
QLD,2015,1/07/2014,30/06/2015,15/04/2016,15/04/2016,N,Q058MAC002,MACKAY REGIONAL COUNCIL,Eungella Landfill,59 Bee Creek Road,Eungella,QLD,4757,-21.13,148.485,2921,Waste Treatment and Disposal Services,"Former waste disposal facility, now closed",Chromium (VI) compounds,Land,0.0287352,N,N,N,Y,N
QLD,2015,1/07/2014,30/06/2015,15/04/2016,15/04/2016,N,Q058MAC002,MACKAY REGIONAL COUNCIL,Eungella Landfill,59 Bee Creek Road,Eungella,QLD,4757,-21.13,148.485,2921,Waste Treatment and Disposal Services,"Former waste disposal facility, now closed",Chromium (III) compounds,Land,0.0670488,N,N,N,Y,N
QLD,2015,1/07/2014,30/06/2015,15/04/2016,15/04/2016,N,Q058MAC002,MACKAY REGIONAL COUNCIL,Eungella Landfill,59 Bee Creek Road,Eungella,QLD,4757,-21.13,148.485,2921,Waste Treatment and Disposal Services,"Former waste disposal facility, now closed",Cadmium & compounds,Land,0.0223496,N,N,N,Y,N
QLD,2015,1/07/2014,30/06/2015,15/04/2016,15/04/2016,N,Q058MAC002,MACKAY REGIONAL COUNCIL,Eungella Landfill,59 Bee Creek Road,Eungella,QLD,4757,-21.13,148.485,2921,Waste Treatment and Disposal Services,"Former waste disposal facility, now closed",Chlorine & compounds,Land,941.876,N,N,N,Y,N
QLD,2015,1/07/2014,30/06/2015,15/04/2016,15/04/2016,N,Q058MAC002,MACKAY REGIONAL COUNCIL,Eungella Landfill,59 Bee Creek Road,Eungella,QLD,4757,-21.13,148.485,2921,Waste Treatment and Disposal Services,"Former waste disposal facility, now closed",Chloroform (trichloromethane),Land,0.0462956,N,N,N,Y,N
QLD,2015,1/07/2014,30/06/2015,15/04/2016,15/04/2016,N,Q058MAC002,MACKAY REGIONAL COUNCIL,Eungella Landfill,59 Bee Creek Road,Eungella,QLD,4757,-21.13,148.485,2921,Waste Treatment and Disposal Services,"Former waste disposal facility, now closed","Chlorophenols (di, tri, tetra)",Land,0.000814164,N,N,N,Y,N
QLD,2015,1/07/2014,30/06/2015,15/04/2016,15/04/2016,N,Q058MAC002,MACKAY REGIONAL COUNCIL,Eungella Landfill,59 Bee Creek Road,Eungella,QLD,4757,-21.13,148.485,2921,Waste Treatment and Disposal Services,"Former waste disposal facility, now closed",Mercury & compounds,Land,0.00095784,N,N,N,Y,N
QLD,2015,1/07/2014,30/06/2015,15/04/2016,15/04/2016,N,Q058MAC003,MACKAY REGIONAL COUNCIL,Finch Hatton Landfill,Trueman Depot Road,Finch Hatton,QLD,4756,-21.141,148.658,2921,Waste Treatment and Disposal Services,"Former waste disposal facility, now closed",Ammonia (total),Land,893.3652,N,N,N,Y,N
QLD,2015,1/07/2014,30/06/2015,15/04/2016,15/04/2016,N,Q058MAC003,MACKAY REGIONAL COUNCIL,Finch Hatton Landfill,Trueman Depot Road,Finch Hatton,QLD,4756,-21.141,148.658,2921,Waste Treatment and Disposal Services,"Former waste disposal facility, now closed",Benzene,Land,0.15740244,N,N,N,Y,N
QLD,2015,1/07/2014,30/06/2015,15/04/2016,15/04/2016,N,Q058MAC003,MACKAY REGIONAL COUNCIL,Finch Hatton Landfill,Trueman Depot Road,Finch Hatton,QLD,4756,-21.141,148.658,2921,Waste Treatment and Disposal Services,"Former waste disposal facility, now closed",Zinc and compounds,Land,2.8928016,N,N,N,Y,N
QLD,2015,1/07/2014,30/06/2015,15/04/2016,15/04/2016,N,Q058MAC003,MACKAY REGIONAL COUNCIL,Finch Hatton Landfill,Trueman Depot Road,Finch Hatton,QLD,4756,-21.141,148.658,2921,Waste Treatment and Disposal Services,"Former waste disposal facility, now closed",Antimony & compounds,Land,0.28077192,N,N,N,Y,N
QLD,2015,1/07/2014,30/06/2015,15/04/2016,15/04/2016,N,Q058MAC003,MACKAY REGIONAL COUNCIL,Finch Hatton Landfill,Trueman Depot Road,Finch Hatton,QLD,4756,-21.141,148.658,2921,Waste Treatment and Disposal Services,"Former waste disposal facility, now closed",Chlorine & compounds,Land,2509.9308,N,N,N,Y,N
QLD,2015,1/07/2014,30/06/2015,15/04/2016,15/04/2016,N,Q058MAC003,MACKAY REGIONAL COUNCIL,Finch Hatton Landfill,Trueman Depot Road,Finch Hatton,QLD,4756,-21.141,148.658,2921,Waste Treatment and Disposal Services,"Former waste disposal facility, now closed",Copper & compounds,Land,0.22972248,N,N,N,Y,N
QLD,2015,1/07/2014,30/06/2015,15/04/2016,15/04/2016,N,Q058MAC003,MACKAY REGIONAL COUNCIL,Finch Hatton Landfill,Trueman Depot Road,Finch Hatton,QLD,4756,-21.141,148.658,2921,Waste Treatment and Disposal Services,"Former waste disposal facility, now closed",Arsenic & compounds,Land,0.05955768,N,N,N,Y,N
QLD,2015,1/07/2014,30/06/2015,15/04/2016,15/04/2016,N,Q058MAC003,MACKAY REGIONAL COUNCIL,Finch Hatton Landfill,Trueman Depot Road,Finch Hatton,QLD,4756,-21.141,148.658,2921,Waste Treatment and Disposal Services,"Former waste disposal facility, now closed",Dichloromethane,Land,1.8718128,N,N,N,Y,N
QLD,2015,1/07/2014,30/06/2015,15/04/2016,15/04/2016,N,Q058MAC003,MACKAY REGIONAL COUNCIL,Finch Hatton Landfill,Trueman Depot Road,Finch Hatton,QLD,4756,-21.141,148.658,2921,Waste Treatment and Disposal Services,"Former waste disposal facility, now closed",Toluene (methylbenzene),Land,1.7441892,N,N,N,Y,N
