TotalCars,Size,State,Suburb,lat,lng,CarsPerSQKM
9354,4.0732,New South Wales,Dee Why - North Curl Curl, 151.290372,-33.754817,2296.474516350781
4337,7.6597,Victoria,Keilor Downs, 144.810541,-37.721636,566.2101648889643
6080,196.2984,Victoria,Bacchus Marsh, 144.444930,-37.651448,30.973252965892744
2245,78.0284,Queensland,Roma, 148.802355,-26.561822,28.7715754776466
3156,23.5924,Tasmania,Newnham - Mayfield, 147.134362,-41.379719,133.7718926433936
0,2456.9093,New South Wales,Blue Mountains - South, 150.307460,-33.979173,0.0
2007,7.261,New South Wales,Kiama Downs - Minnamurra, 150.845188,-34.637164,276.4082082357802
2734,4.1989,Queensland,Manly - Lota, 153.184965,-27.459503,651.1229131439186
4908,253.9026,South Australia,Port Augusta, 137.828370,-32.490653,19.330247110506154
1250,3.8462,Australian Capital Territory,Weston, 149.059217,-35.330450,324.9961000467994
1717,3.9526,Queensland,Cannon Hill, 153.091479,-27.472372,434.39761169862874
8022,8.7377,Victoria,Cheltenham - Highett (East), 145.063853,-37.960509,918.0905730340936
1927,3.4789,Western Australia,Winthrop, 115.829480,-32.052737,553.9107189054012
2144,1.2432,Queensland,Spring Hill, 153.022629,-27.458414,1724.5817245817245
2342,1.9003,Queensland,Coolangatta, 153.530798,-28.169435,1232.436983634163
5574,10.9631,New South Wales,Baulkham Hills (West) - Bella Vista, 150.963640,-33.746471,508.4328337787669
6954,5.5372,New South Wales,Chatswood (West) - Lane Cove North, 151.161700,-33.800826,1255.8693924727297
1665,1.5377,Australian Capital Territory,Turner, 149.123146,-35.268051,1082.7859790596344
0,112.8254,Queensland,Lake Manchester - England Creek, 152.754077,-27.413913,0.0
7071,4.4925,New South Wales,Burwood - Croydon, 151.109809,-33.878239,1573.9565943238733
0,4.1706,Western Australia,Bibra Lake, 115.827285,-32.087753,0.0
3378,2.9887,Victoria,Pascoe Vale South, 144.938004,-37.743561,1130.2573025061063
1805,4383.8753,Western Australia,Plantagenet, 117.512007,-34.625161,0.4117361641194493
3424,920.7579,Victoria,Daylesford, 144.179112,-37.310867,3.7186756692502994
6509,4.32,New South Wales,Erskineville - Alexandria, 151.191585,-33.909223,1506.7129629629628
3112,22.446,Queensland,Rocklea - Acacia Ridge, 153.014352,-27.570134,138.64385636639045
2165,3.3581,Queensland,Cranbrook, 146.751068,-19.306429,644.709806140377
2993,1111.6724,South Australia,Light, 138.864821,-34.386290,2.692339937557144
936,123.3732,South Australia,Clarendon, 138.649507,-35.107632,7.586736827771348
941,346.7662,New South Wales,Jilliby - Yarramalong, 151.348994,-33.173765,2.7136439479972383
3299,1.9654,Queensland,West End, 153.005882,-27.482767,1678.538719853465
2824,1356.0987,New South Wales,Nambucca Heads Region, 152.752304,-30.716010,2.0824442940620767
